date,open,high,low,close,volume
2019/4/27,153.1,154.43,152.5,153.25,16074.94
2019/4/26,152,155.78,148.6,153.1,64658.7
2019/4/25,165.74,166.33,146.17,152,82295.77
2019/4/24,170.3,171.07,160.28,165.74,70627.45
2019/4/23,171.47,177.07,168.7,170.3,69287.71
2019/4/22,169.87,174,168.32,171.47,37737.23
2019/4/21,173.5,174.29,166.13,169.87,26715.76
2019/4/20,173.66,177.92,170.75,173.5,18828.9
2019/4/19,174.17,174.33,169.09,173.66,30458.13
2019/4/18,166.74,176.37,166.08,174.17,53731.45
2019/4/17,166.52,168.67,164.44,166.74,37151.44
2019/4/16,159.91,168.08,159.47,166.52,38535.23
2019/4/15,168,169.57,156.02,159.91,56905.79
2019/4/14,163.65,169.36,161.5,168,25243.02
2019/4/13,164.11,166.1,161.85,163.65,18114.24
2019/4/12,164.96,167.57,159.17,164.11,56210.43
2019/4/11,177.7,178,160.33,164.96,67341.23
2019/4/10,175.59,185.71,167,177.7,80893.41
2019/4/9,180.72,180.84,174.19,175.59,65106.72
2019/4/8,174.9,187.26,173.66,180.72,91552.87
2019/4/7,166,176.57,164.11,174.9,41923.93
2019/4/6,166.06,173.06,160,166,41866.95
2019/4/5,157.72,168.64,156.2,166.06,54449.38
2019/4/4,160.89,164.97,152.95,157.72,111326.82
2019/4/3,164.58,180.03,152.42,160.89,196372.07
2019/4/2,141,168.72,140.7,164.58,179781.78
2019/4/1,141.02,142.95,138.27,141,39721.88
2019/3/19,136.86,138.75,136.69,137.68,3871.47
2019/3/18,138.15,141.34,135.42,136.86,39466.65
2019/3/17,140.38,140.38,135.55,138.15,24602.44
2019/3/16,135.77,143.85,135.77,140.38,41397.06
2019/3/15,131.3,136.93,131.3,135.77,41508.31
2019/3/14,131.16,135.08,128.66,131.3,26840.14
2019/3/13,132.67,132.76,130.12,131.16,13036.65
2019/3/12,131.94,134.37,127.35,132.67,35175.21
2019/3/11,134.59,135.43,130.46,131.94,45090.04
2019/3/10,136.33,136.83,133.31,134.59,17958.35
2019/3/9,132.8,138.2,132.03,136.33,31318.53
2019/3/8,136.1,138.59,128.85,132.8,48099.69
2019/3/7,137.04,139.8,134.65,136.1,49710.29
2019/3/6,136.18,140.13,133.25,137.04,39998.93
2019/3/5,125.16,137.64,124.75,136.18,62120.3
2019/3/4,129.63,130.36,122.52,125.16,55433.28
2019/3/3,132.19,134.42,127.34,129.63,25772.18
2019/3/2,134.83,135.48,129.55,132.19,38225.98
2019/3/1,134.34,137.6,133.77,134.83,35448.66
2019/2/28,134.06,139.05,131.65,134.34,70901.88
2019/2/27,135.9,139.83,125.66,134.06,82251.52
2019/2/26,137.63,138.07,132.05,135.9,54544.72
2019/2/25,131.84,141.98,131.42,137.63,82953.04
2019/2/24,157.42,165.76,131.4,131.84,147378.26
2019/2/23,146.4,160,144.8,157.42,96848.66
2019/2/22,144.3,147.52,142.11,146.4,86017.14
2019/2/21,147.03,149.5,141.61,144.3,56775.01
2019/2/20,142.62,148.62,139.01,147.03,74898.78
2019/2/19,144.52,149.21,141.5,142.62,89246.37
2019/2/18,132.28,147.91,131,144.52,149249.33
2019/2/17,121.68,134.38,121.3,132.28,67865.06
2019/2/16,120.45,123.71,120.4,121.68,20838.98
2019/2/15,119.28,123.4,119,120.45,54459.26
2019/2/14,120.61,123.34,118.89,119.28,47805.06
2019/2/13,120.93,125.12,119.5,120.61,52674.91
2019/2/12,119.43,122.3,117,120.93,45614.76
2019/2/11,123.94,124.04,118.11,119.43,70682.85
2019/2/10,117.92,125.1,114.83,123.94,38027.62
2019/2/9,118.19,119.97,116.54,117.92,28790.32
2019/2/8,103.3,121.67,102.38,118.19,86340.01
2019/2/7,103.32,104.88,102.6,103.3,31884.28
2019/2/6,106,106.42,100,103.32,63445.23
2019/2/5,105.95,106.6,105.14,106,20729.95
2019/2/4,105.91,107.91,105.3,105.95,36049.24
2019/2/3,109.24,110.02,104.44,105.91,30157.93
2019/2/2,106.03,110,105.04,109.24,21713.95
2019/2/1,105.81,107.62,103,106.03,56576.17
2019/1/31,107.6,110.07,104.78,105.81,19518.1
2019/1/30,104.1,109.4,102.89,107.6,35999.18
2019/1/29,105.47,105.95,102.1,104.1,43953.14
2019/1/28,111.33,112.14,100.9,105.47,69204.93
2019/1/27,114.95,115.8,110.32,111.33,17330.9
2019/1/26,114.79,117.64,114.57,114.95,9891.86
2019/1/25,116.5,117.12,114.12,114.79,34789.74
2019/1/24,116.56,117.17,113.5,116.5,37460.29
2019/1/23,118,118.96,114.91,116.56,34623.85
2019/1/22,115.86,119.98,111.01,118,50330.73
2019/1/21,117.48,118.24,113.44,115.86,31173
2019/1/20,123.09,123.89,115.49,117.48,31264.35
2019/1/19,119.35,127,118.7,123.09,34191.2
2019/1/18,122.52,122.73,118.22,119.35,30260.24
2019/1/17,122.14,123.9,116.97,122.52,53843.63
2019/1/16,120.04,127.77,119.29,122.14,43625.55
2019/1/15,128.33,130.59,116.68,120.04,63432.03
2019/1/14,115.25,131.47,115.24,128.33,58206.75
2019/1/13,124.56,125.52,113.46,115.25,33514.37
2019/1/12,125.93,127.37,123.37,124.56,15433.27
2019/1/11,126.45,128.74,121.52,125.93,61032.04
2019/1/10,149.56,151.1,122.21,126.45,111302.28
2019/1/9,149.01,153,147.7,149.56,36745.16
2019/1/8,150.66,153,146.55,149.01,41159.88
2019/1/7,156,157.24,148.53,150.66,31949.93
2019/1/6,153.85,159.66,148.47,156,46616.8
2019/1/5,152.98,160.95,152.31,153.85,44910.48
2019/1/4,147.02,156.48,145.02,152.98,62279.3
2019/1/3,153.35,154.73,144.09,147.02,36630.17
2019/1/2,139.75,156.8,138.54,153.35,48537.96
2019/1/1,130.67,141.25,129.5,139.75,28500.87
2018/12/31,138.56,139.01,128.42,130.67,34827.16
2018/12/30,134.02,140.35,128.65,138.56,45952.5
2018/12/29,136.94,150.04,121.7,134.02,67314.52
2018/12/28,114.6,138.82,113.14,136.94,91051.99
2018/12/27,130.53,131.77,112.3,114.6,69777
2018/12/26,128.81,136.76,123.28,130.53,67426.99
2018/12/25,139,140.01,120.62,128.81,104262.02
2018/12/24,129.73,159.11,129.41,139,158798.86
2018/12/23,115.6,133,115.6,129.73,71583.28
2018/12/22,107.71,116.39,105.46,115.6,28444.97
2018/12/21,114.54,118.94,105.05,107.71,84037.83
2018/12/20,99.27,117,98,114.54,151025.62
2018/12/19,100.89,108.13,98.25,99.27,146412.01
2018/12/18,93.98,101.59,91.49,100.89,68453.86
2018/12/17,83.76,96.78,83.5,93.98,87185.89
2018/12/16,83.08,86.65,82.94,83.76,20838.34
2018/12/15,82.91,84.15,80.99,83.08,18287.27
2018/12/14,85.31,85.91,80.9,82.91,74615.34
2018/12/13,89.09,90.24,83.7,85.31,51053.08
2018/12/12,86.9,91.01,86,89.09,41368.2
2018/12/11,89.27,91.02,85,87.31,49907.48
2018/12/10,92.63,94.6,87.32,89.27,53990.16
2018/12/9,90.07,98.41,88.09,92.63,73663.44
2018/12/8,92.5,97.51,83.7,90.07,105438.37
2018/12/7,89.16,109.43,81.19,92.5,237675.43
2018/12/6,100.67,103.01,88.86,89.16,137644.28
2018/12/5,108.8,109.12,100.21,100.67,97484.85
2018/12/4,107.28,112.18,104.16,108.8,37740.21
2018/12/3,114.91,115.65,104.36,107.28,56880.04
2018/12/2,116.8,119.35,113.95,114.91,29589.07
2018/12/1,111.9,119.74,109.99,116.8,35465.73
2018/11/30,116.46,119.08,108.83,111.9,58500.83
2018/11/29,121.81,123.21,113.05,116.46,76052.18
2018/11/28,108.47,125.57,108.47,121.81,130815.99
2018/11/27,106.82,111.22,99,108.47,93266.16
2018/11/26,113.59,117.59,102.69,106.82,128626.55
2018/11/25,110.26,119.06,98.11,113.59,153776.01
2018/11/24,121.33,125.99,106.81,110.26,65552.52
2018/11/23,123.4,125.14,116.18,121.33,103946.28
2018/11/22,134.44,136.6,122.42,123.4,49385.81
2018/11/21,127.36,137.46,122.37,134.44,132529.03
2018/11/20,145.31,149.35,121.61,127.36,213254.04
2018/11/19,175.99,175.99,142.27,145.31,167446.47
2018/11/18,172.4,179.95,172.15,175.99,19080.46
2018/11/17,172.11,176,170.45,172.4,14302.71
2018/11/16,178.6,179.41,169.25,172.11,41057.33
