date,open,high,low,close,volume
2019/4/27,71.7,71.81,70.26,70.73,4683.29
2019/4/26,70.75,73.34,68.74,71.7,46028.26
2019/4/25,73.11,74.74,69.02,70.75,54113.36
2019/4/24,74.16,75.21,70.43,73.11,55178.38
2019/4/23,76.8,79.75,73.89,74.16,43099.12
2019/4/22,77.51,78.29,75.45,76.8,35170.82
2019/4/21,81.47,82.29,73.42,77.51,56490.01
2019/4/20,82.45,83.11,79.67,81.47,15866.63
2019/4/19,82.08,83.71,79.99,82.45,26729.13
2019/4/18,79.27,83.93,79.26,82.08,42799.97
2019/4/17,81.08,82.11,78.52,79.27,20146.9
2019/4/16,78.35,81.83,77.11,81.08,35362.8
2019/4/15,83.71,84.72,74.45,78.35,55765.46
2019/4/14,77.97,83.87,76.4,83.71,28102.62
2019/4/13,79.09,81.61,76.22,77.97,24500.49
2019/4/12,79.44,81.04,75.53,79.09,50819.42
2019/4/11,88.09,88.79,75.25,79.44,104741.65
2019/4/10,86.95,91.8,86.51,88.09,38967.39
2019/4/9,89.64,89.64,83.88,86.95,27724.49
2019/4/8,91.82,94.19,86.36,89.64,41902.43
2019/4/7,92.65,95.45,88.8,91.82,28148.43
2019/4/6,88.6,97.79,85.26,92.65,57279.69
2019/4/5,84.67,90.25,84.21,88.6,59276.88
2019/4/4,85.67,90.3,80.51,84.67,92845.17
2019/4/3,77.57,99.62,76.01,85.67,314725.38
2019/4/2,60.43,79.13,60.15,77.57,143234.65
2019/4/1,60.41,60.87,59.84,60.43,16257.98
2019/3/19,58.97,59.77,58.87,59.45,2009.69
2019/3/18,60.24,62.22,57.83,58.97,34588.6
2019/3/17,60.92,61.1,59.36,60.24,17618.65
2019/3/16,58.19,61.6,58,60.92,55525.47
2019/3/15,55.71,58.66,55.56,58.19,36803.32
2019/3/14,55.33,57.99,51.37,55.71,55426.35
2019/3/13,56.27,56.44,54.04,55.33,27040.39
2019/3/12,54.63,56.7,52.1,56.27,37998.24
2019/3/11,56.28,56.92,53.61,54.63,38983.44
2019/3/10,57.54,57.59,55.71,56.28,29606.28
2019/3/9,55.29,59.18,55.18,57.54,47138.95
2019/3/8,56.54,58.19,53.88,55.29,63597.19
2019/3/7,55.32,58.86,53.72,56.54,74271.39
2019/3/6,52.31,56.49,51.11,55.32,91735.82
2019/3/5,45.72,54,45.23,52.31,142828.21
2019/3/4,47.65,47.95,44.55,45.72,47296.58
2019/3/3,48.36,48.83,46.91,47.65,23875.78
2019/3/2,46.92,49.06,46.29,48.36,34325.23
2019/3/1,45.52,48.73,45.34,46.92,49226.35
2019/2/28,44.87,46.63,44.6,45.52,55715.15
2019/2/27,44.62,45.4,42.33,44.87,43193.13
2019/2/26,45.33,45.64,44,44.62,53603.1
2019/2/25,43.64,46.8,43.34,45.33,61816.47
2019/2/24,51.25,53.44,42.45,43.64,168183.13
2019/2/23,49.09,51.85,47.65,51.25,66938.18
2019/2/22,48.49,49.4,47.57,49.09,62519.06
2019/2/21,51.03,51.21,47.46,48.49,68141.45
2019/2/20,46.89,51.85,45.82,51.03,102623.75
2019/2/19,47.32,48.8,46.25,46.89,56841.82
2019/2/18,43.49,48.75,43.21,47.32,149749.96
2019/2/17,42.93,44.69,41.97,43.49,50401.77
2019/2/16,42.15,43.84,41.74,42.93,50359.76
