date,open,high,low,close,volume
2019/4/27,0.2938,0.296,0.2873,0.2908,8038437.19
2019/4/26,0.2865,0.295,0.2826,0.2938,19324339.35
2019/4/25,0.301,0.3072,0.2795,0.2865,34496097.74
2019/4/24,0.3202,0.3219,0.291,0.301,39399052.05
2019/4/23,0.3236,0.3288,0.32,0.3202,17260523.17
2019/4/22,0.3218,0.332,0.3188,0.3236,13935407.64
2019/4/21,0.328,0.3298,0.3166,0.3218,12373381.56
2019/4/20,0.3317,0.3341,0.3211,0.328,11808044.6
2019/4/19,0.336,0.3362,0.327,0.3317,13973789.74
2019/4/18,0.3358,0.3483,0.3334,0.336,17347954.82
2019/4/17,0.3254,0.342,0.3204,0.3358,20316707.88
2019/4/16,0.3185,0.327,0.316,0.3254,15325967.05
2019/4/15,0.3298,0.3327,0.3131,0.3185,21166961.74
2019/4/14,0.3253,0.3311,0.3215,0.3298,16214152.07
2019/4/13,0.3246,0.3374,0.3221,0.3253,14947752.56
2019/4/12,0.3284,0.33,0.3175,0.3246,21319282.91
2019/4/11,0.3543,0.3545,0.3216,0.3284,27190078.81
2019/4/10,0.3497,0.3618,0.3485,0.3543,23249762.91
2019/4/9,0.3578,0.3589,0.348,0.3497,22315564.97
2019/4/8,0.3627,0.3705,0.3477,0.3578,33362990.63
2019/4/7,0.3524,0.365,0.3499,0.3627,35182119.85
2019/4/6,0.3632,0.3632,0.3471,0.3524,30446134.8
2019/4/5,0.33,0.3784,0.33,0.3632,63035893.78
2019/4/4,0.3424,0.3497,0.3255,0.33,41647176.05
2019/4/3,0.3541,0.376,0.327,0.3424,62798521.01
2019/4/2,0.3113,0.36,0.31,0.3541,52101737.96
2019/4/1,0.3085,0.3132,0.3065,0.3113,14520456.87
2019/3/19,0.3129,0.3135,0.312,0.3128,1200197.55
2019/3/18,0.3136,0.318,0.3089,0.3129,9990295.34
2019/3/17,0.3173,0.3177,0.3128,0.3136,5986576.09
2019/3/16,0.3131,0.3206,0.3125,0.3173,9534796.96
2019/3/15,0.3091,0.3147,0.308,0.3131,9016979.62
2019/3/14,0.3118,0.3145,0.3033,0.3091,9590204.03
2019/3/13,0.3082,0.3239,0.3057,0.3118,13844111.92
2019/3/12,0.3084,0.3099,0.303,0.3082,17406392.58
2019/3/11,0.3109,0.3123,0.3054,0.3084,12435027.9
2019/3/10,0.3115,0.3156,0.3059,0.3109,8246223.4
2019/3/9,0.3065,0.3177,0.3051,0.3115,8382425.89
2019/3/8,0.3112,0.3144,0.302,0.3065,13803007.21
2019/3/7,0.3147,0.3178,0.3108,0.3112,12074426.57
2019/3/6,0.3135,0.3195,0.3081,0.3147,14789474.96
2019/3/5,0.3009,0.3172,0.2997,0.3135,16337723.72
2019/3/4,0.3094,0.3109,0.297,0.3009,10183888.38
2019/3/3,0.3135,0.3143,0.307,0.3094,6202339.5
2019/3/2,0.3143,0.3164,0.3082,0.3135,12324202.27
2019/3/1,0.313,0.323,0.3093,0.3143,15348636.42
2019/2/28,0.3091,0.3158,0.305,0.313,13285390.19
2019/2/27,0.3159,0.3173,0.298,0.3091,13965391.58
2019/2/26,0.327,0.333,0.3105,0.3159,21837336.58
2019/2/25,0.2967,0.3392,0.2955,0.327,30820194.81
2019/2/24,0.3313,0.3419,0.2938,0.2967,27122712.36
2019/2/23,0.319,0.3333,0.3156,0.3313,11271037.44
2019/2/22,0.3174,0.3209,0.3115,0.319,8597313.33
2019/2/21,0.3285,0.33,0.3136,0.3174,10772668.82
2019/2/20,0.3211,0.3318,0.3162,0.3285,16113001.88
2019/2/19,0.3187,0.3452,0.3175,0.3211,24698373.7
2019/2/18,0.2996,0.327,0.2984,0.3187,24121439.84
2019/2/17,0.2974,0.303,0.2928,0.2996,8949967.52
2019/2/16,0.2989,0.3005,0.2962,0.2974,5409308.42
2019/2/15,0.2977,0.3028,0.2952,0.2989,12155305.78
2019/2/14,0.3004,0.302,0.297,0.2977,9840110.64
2019/2/13,0.3009,0.3094,0.295,0.3004,11851892.04
2019/2/12,0.2989,0.3043,0.2941,0.3009,13368930.18
2019/2/11,0.3074,0.3077,0.2983,0.2989,11326300.28
